flight_id,external_id_raw,flight_purpose,takeoff_utc,duration_min,verdict,linked_event_number,linked_dt_minutes,linked_nearest_km,real_path_km,turn_deg_per_km,loiter_density,dest_lat,dest_lon,dest_dist_from_dock_km
04dc6f30-8911-4a26-b6e8-1fc047629206,PD202600390493,PERSON WITH WEAPON,2026-05-26T19:03:18.672000+00:00,15.28,plural,PD202600390493,1.7,,7.29,2140.3,0.152,36.2536,-86.7208,3.43
c4ee5275-12ee-46fc-9614-7d26be687a07,PD202600390493,PERSON WITH WEAPON,2026-05-26T19:12:35.454000+00:00,11.42,plural,PD202600390493,11.0,,7.06,292.6,0.375,36.2536,-86.7216,3.49
5ad6cf0e-8f8b-4d77-9edb-ef552265635e,PD202600390721,VEHICLE ACCIDENT - PROPERTY DAMAGE,2026-05-26T20:34:37.858000+00:00,8.08,plural,PD202600390721,-13.3,0.33,3.847,1120.7,0.375,36.264,-86.7104,2.01
7d44855b-9d5c-4f4d-8dfd-daeedda8bf1d,PD202600390744,HOLDUP / ROBBERY,2026-05-26T20:56:33.566000+00:00,13.1,plural,PD202600390744,1.2,,5.653,3283.7,0.197,36.2924,-86.7,2.3
3f2a3e15-aaa6-4c17-8544-3b4d0a7ac68d,PD202600390721,VEHICLE ACCIDENT - PROPERTY DAMAGE,2026-05-26T21:55:47.106000+00:00,7.61,plural,PD202600390721,67.8,0.293,3.888,1489.0,0.447,36.264,-86.7112,2.07
d015ceb2-873a-4560-8f32-390eb242dc8f,PD202600390843,SAFETY HAZARD,2026-05-26T21:30:01.211000+00:00,11.25,collapsed,PD202600390843,-0.9,0.101,4.025,2768.5,0.391,36.2636,-86.7112,2.09
28637e47-cb0f-4326-beb7-c3869d4f1126,PD202600390784,VEHICLE ACCIDENT - PROPERTY DAMAGE,2026-05-26T21:09:54.529000+00:00,8.17,plural,PD202600390784,-0.6,,4.72,3879.5,0.393,36.2936,-86.7,2.43
07b42f35-0576-4c9f-bffc-33daa5eb503b,PD202600391002,SUSPICIOUS PERSON,2026-05-26T22:28:39.668000+00:00,6.82,void,,,,3.011,1658.3,0.289,36.2632,-86.7032,1.54
78224bb1-18a4-445d-a170-62c8473314ad,PD202600391110,THEFT,2026-05-26T23:05:57.064000+00:00,18.55,plural,PD202600391110,-1.8,,6.688,4495.4,0.169,36.2672,-86.712,1.99
e9b9b7d9-c682-4010-a878-c7bab142c7d4,PD202600391211,VEHICLE ACCIDENT - PROPERTY DAMAGE,2026-05-26T23:51:10.216000+00:00,14.58,collapsed,PD202600391211,-0.8,0.037,4.99,8245.5,0.362,36.2624,-86.7136,2.34
2eee7974-6443-49e7-952d-bf1f4c539b18,PD202600391240,SHOTS FIRED,2026-05-27T00:02:55.671000+00:00,23.54,plural,PD202600391240,-0.2,,2.488,19795.1,0.648,36.268,-86.6816,1.01
af207d28-2295-4065-8042-5e0ae5c27602,PD202600391240,SHOTS FIRED,2026-05-27T00:24:08.079000+00:00,10.02,plural,PD202600391240,21.1,,1.906,6201.8,0.738,36.2684,-86.682,0.96
dfbb3117-a792-491d-89e4-5fb97df02ba6,PD202600324534,THEFT,2026-05-27T00:31:52.552000+00:00,18.69,plural,PD202600324534,37294.4,,5.989,5226.4,0.719,36.2964,-86.6992,2.7
72a72e4f-66c8-42ba-ba52-35d4d20379b8,PD202600324534,THEFT,2026-05-27T00:47:45.378000+00:00,16.35,plural,PD202600324534,37310.2,,5.105,717.6,0.876,36.2956,-86.6968,2.57
3adae817-5396-4d53-a40f-d315332eacc4,PD202600393042,SUSPICIOUS PERSON,2026-05-27T17:01:09.268000+00:00,20.61,void,,,,4.931,5831.6,0.328,36.266,-86.7116,2.0
7cce8ded-bf3a-4571-b7f9-d889d46ab6c7,PD202600393114,DISORDERLY PERSON,2026-05-27T17:47:41.366000+00:00,19.63,collapsed,PD202600393114,-0.5,0.243,4.92,1215.4,0.887,36.2584,-86.712,2.49
c03f6aed-3dce-4697-979e-8282fb16ad0e,PD202600393163,PERSON WITH WEAPON,2026-05-27T18:17:45.926000+00:00,14.77,plural,PD202600393163,1.1,,2.523,12086.3,0.417,36.2668,-86.6936,0.73
c76cc087-c81e-4ec6-8cf5-3062e9509804,PD202600393084,PERSON WITH WEAPON,2026-05-27T17:31:09.265000+00:00,16.33,plural,PD202600393084,3.9,,7.672,1175.9,0.338,36.2956,-86.6996,2.63
2be67a15-27db-40a9-b35c-d997df1a0371,PD202600393142,DISORDERLY PERSON,2026-05-27T18:05:12.778000+00:00,15.75,plural,PD202600393142,-0.9,,6.485,2612.4,0.121,36.2572,-86.7136,2.68
513d9d69-8932-4b43-9ea0-5d6f83665499,PD202600393377,DOMESTIC DISTURBANCE,2026-05-27T19:34:43.775000+00:00,21.69,void,,,,5.143,5105.1,0.048,36.2588,-86.6964,1.65
9d3bf3bc-b499-4ccf-965a-4b76d140d35f,PD202600393377,DOMESTIC DISTURBANCE,2026-05-27T19:50:48.207000+00:00,10.7,void,,,,4.081,5287.6,0.737,36.2568,-86.7028,2.09
8bf48c45-f34d-4c15-b34c-a5d579516bcb,PD202600393417 / PD202600393394,VEHICLE ACCIDENT - PROPERTY DAMAGE,2026-05-27T20:01:55.870000+00:00,20.01,plural,PD202600393417,8.3,,5.683,4540.7,0.312,36.2944,-86.7008,2.54
9a7b3519-bcb6-4b15-8d6b-42fb5fefb1e4,PD202600393515,SAFETY HAZARD,2026-05-27T20:30:47.456000+00:00,11.09,plural,PD202600393515,1.0,,5.008,2149.5,0.076,36.2628,-86.7108,2.11
6f08bb8f-1b7a-4c9b-ba0e-1c55aa4d55ec,PD202600393394,DISORDERLY PERSON,2026-05-27T21:15:17.247000+00:00,17.92,void,,,,5.66,9270.3,0.434,36.2948,-86.6992,2.53
7329b061-e18d-4fac-a141-adeb05b9c7bb,PD202600393765,VEHICLE ACCIDENT - PROPERTY DAMAGE,2026-05-27T22:09:10.318000+00:00,15.99,plural,PD202600393765,-0.7,,5.399,5175.8,0.314,36.2932,-86.7004,2.4
bb39088a-953c-4836-8b9b-ae08faa348cf,PD202600394044,DOMESTIC DISTURBANCE,2026-05-28T00:13:39.090000+00:00,23.57,void,,,,2.326,14278.5,0.567,36.2664,-86.6948,0.81
31fd8040-1f2d-41e0-9941-a5488cb3f158,PD202600395605,PERSON WITH WEAPON,2026-05-28T15:55:23.727000+00:00,17.84,plural,PD202600395605,1.0,,7.948,2756.6,0.519,36.2552,-86.7184,3.15
f8e132b9-b53d-45bc-98c3-d8f77177f891,PD202600395690,PERSON WITH WEAPON,2026-05-28T16:30:24.907000+00:00,17.34,plural,PD202600395690,1.4,0.636,6.114,6150.5,0.372,36.2548,-86.7172,3.1
66bcf2d2-607f-403d-a522-ae8e67fb310c,PD202600396287,VEHICLE ACCIDENT - PROPERTY DAMAGE,2026-05-28T20:51:42.247000+00:00,10.66,plural,PD202600396287,-1.4,,6.059,1339.0,0.623,36.3012,-86.6912,3.14
cc9cc0c5-9d44-4d90-92b7-0f3968a363bf,PD202600396256,FIRE,2026-05-28T20:43:51.250000+00:00,3.32,plural,PD202600396256,0.0,,0.088,88987.9,0.0,,,
91528ae7-86de-4abf-a40d-085547dfb978,PD202600396334,PERSON INDECENTLY EXPOSED,2026-05-28T21:04:45.066000+00:00,16.49,void,,,,7.081,2606.1,0.257,36.3016,-86.6912,3.18
404a3681-16bb-40fa-80b4-717fb25ee2bc,PD202600396362,DISORDERLY PERSON,2026-05-28T22:02:26.175000+00:00,11.57,void,,,,6.265,701.2,0.642,36.2548,-86.718,3.16
2cd5bd75-071f-46a1-b848-5fad175837a7,PD202600396917,FIGHT / ASSAULT,2026-05-29T00:14:31.596000+00:00,19.77,plural,PD202600396917,-5.7,,4.983,4685.0,0.267,36.2628,-86.7144,2.38
3fa69387-24ec-43ab-a0c6-4c3d4dc12660,PD202600396979,DISORDERLY PERSON,2026-05-29T00:40:55.284000+00:00,20.94,void,,,,4.117,2038.6,0.866,36.2628,-86.7108,2.11
0d2b9bc3-7d0b-42ee-9f5c-9984ed0cd820,PD202600396979,DISORDERLY PERSON,2026-05-29T00:56:39.222000+00:00,15.28,void,,,,4.975,2107.6,0.462,36.2612,-86.714,2.44
34de212f-ff82-47c1-a74f-d798701be9f2,PD202600398598,DOMESTIC DISTURBANCE,2026-05-29T15:47:01.319000+00:00,13.9,void,,,,2.753,7320.6,0.297,36.268,-86.698,0.84
3b10858a-4e20-42b9-8ac3-aa619e923813,PD202600398598,DOMESTIC DISTURBANCE,2026-05-29T15:54:25.421000+00:00,7.64,void,,,,2.059,3501.0,0.4,36.2684,-86.7016,1.08
fbee8f94-38b6-47d4-b0e1-835f3d8b0d21,PD202600399097,FIGHT / ASSAULT,2026-05-29T19:26:55.467000+00:00,19.53,collapsed,PD202600399097,0.3,0.017,6.581,4399.2,0.115,36.292,-86.6952,2.15
828a2ecb-ab26-4d7d-b77f-44dd6980d3b7,PD202600399097,FIGHT / ASSAULT,2026-05-29T19:43:00.191000+00:00,9.2,plural,PD202600399097,16.4,0.163,4.512,1644.7,0.508,36.292,-86.6952,2.15
d5aaf43b-1560-4892-8d50-276d66b0392f,PD202600399270,DOMESTIC DISTURBANCE,2026-05-29T20:51:40.566000+00:00,4.16,void,,,,3.239,83.7,0.084,36.2832,-86.7052,1.7
c30bd7c3-8eb4-4862-aa48-21e4c84abc93,PD202600399278,VEHICLE ACCIDENT - PROPERTY DAMAGE,2026-05-29T20:58:45.059000+00:00,7.44,collapsed,PD202600399278,2.4,0.128,0.258,3762.1,0.801,36.2728,-86.6892,0.16
50e20911-3ef5-4b9e-a74b-758e1e1d00f0,PD202600399347,DISORDERLY PERSON,2026-05-29T21:21:09.637000+00:00,19.54,void,,,,8.228,4932.5,0.479,36.258,-86.714,2.65
17bc3b8e-ccd7-494d-ad41-3c510993ab20,PD202600399345 / PD202600399347,BURGLARY - NON-RESIDENCE,2026-05-29T21:27:21.343000+00:00,20.65,plural,PD202600399345,2.3,,6.486,2371.0,0.167,36.258,-86.7136,2.62
e2260b9e-c7f5-46d0-b16f-343d10f267a8,PD202600399580,VEHICLE ACCIDENT - PROPERTY DAMAGE,2026-05-29T22:59:31.671000+00:00,4.63,plural,PD202600399580,-2.1,,3.883,64.1,0.027,36.2748,-86.6912,0.2
77c1f152-7e43-4639-ac03-a9946ed17461,PD202600399692,HOLDUP / ROBBERY,2026-05-29T23:47:07.890000+00:00,9.83,void,,,,6.214,1008.1,0.189,36.2544,-86.7172,3.13
ff59bbd1-c052-40cf-b0b1-f9da36bd5b9b,PD202600408592 / PD202600408612,SAFETY HAZARD,2026-06-02T12:34:45.479000+00:00,13.65,collapsed,PD202600408592,3.6,0.078,9.708,590.4,0.165,36.2864,-86.7052,1.96
f2bc2b85-54f3-4496-b96a-7515ff3d653f,PD202600409010,BURGLARY - NON-RESIDENCE,2026-06-02T15:43:51.940000+00:00,13.25,collapsed,PD202600409010,2.5,0.04,4.179,3817.8,0.339,36.2708,-86.712,1.9
bf21f4d9-6218-4211-a555-97de0dedf473,PD202600409380,BURGLARY - NON-RESIDENCE,2026-06-02T18:37:27.840000+00:00,20.22,plural,PD202600409380,0.7,,5.79,5860.4,0.673,36.2548,-86.6816,2.19
b5b9f04b-58d5-49b8-a284-c86c37b6f08f,PD202600409380,BURGLARY - NON-RESIDENCE,2026-06-02T18:50:30.240000+00:00,19.58,plural,PD202600409380,13.7,,4.55,9636.0,0.932,36.2548,-86.6816,2.19
22cfe76c-2151-4a9d-b527-e3e48777be28,PD202600409380,BURGLARY - NON-RESIDENCE,2026-06-02T19:21:02.657000+00:00,20.11,plural,PD202600409380,44.2,,6.261,4923.2,0.091,36.2536,-86.682,2.3
